---- PEOPLE ----
('Qsgobnfeuu', 'Qwkn', 'MH', 'Port St. Lucie'),
('Qoytmin', 'Qraktfjrexue', 'PW', 'Los Angeles'),
('Utqil', 'Nwvptvxzzvdhp', 'ME', 'Los Angeles'),
('Yh', 'Asfc', 'FL', 'Rochester'),
('Jncaghasieok', 'Npygulhx', 'AK', 'Buffalo'),
('Sltbytgcixmoz', 'Kgqkbbha', 'WA', 'Cincinnati'),
('Cuuwnkvvxy', 'Zvwncoiylmn', 'OK', 'Cape Coral'),
('Gqufyv', 'Vm', 'ND', 'El Paso'),
('Xdkmaq', 'Zeumgbokgx', 'MP', 'Amarillo'),
('Snxiynss', 'Spxbcmzmcr', 'GU', 'New Orleans'),
('Ay', 'Vtbtqdnmwe', 'NY', 'Columbus'),
('Knmtr', 'Bkefjrurnl', 'IL', 'Mobile'),
('Rvkfts', 'Afldnvxjg', 'LA', 'Aurora'),
('Db', 'Vxnrykqybnn', 'MD', 'El Paso'),
('Ezmjpy', 'Eyysazeszefl', 'AK', 'Long Beach'),
('Jkmakpai', 'El', 'DE', 'Santa Ana'),
('Oxjumvie', 'Beuhyyoy', 'MO', 'San Francisco'),
('Ijbed', 'Rblzavugso', 'TX', 'Huntington Beach'),
('Pdplhrcnix', 'Ifcf', 'CT', 'Arlington'),
('Iukprtuq', 'Wc', 'NY', 'Tulsa'),
('Rmi', 'Bxzlyimwgqck', 'GA', 'Grand Rapids'),
('Ujalpq', 'Trcafy', 'PR', 'Louisville/Jefferson County'),
('Sovoeuejnlb', 'Yf', 'ME', 'Portland'),
('Nfttiu', 'Qgyrrjcl', 'NY', 'Salt Lake City'),
('Lqpys', 'Vv', 'FL', 'Rancho Cucamonga'),
('Jxkahoc', 'Hdjxrbftoy', 'AR', 'Modesto'),
('Gfbyxxdmsz', 'Iphbxamtdrtkg', 'KS', 'Overland Park'),
('Fvbinsxydd', 'Cnsuh', 'OR', 'Hialeah'),
('Ptdqb', 'Awbgloohtpyaj', 'WA', 'Sacramento'),
('Cyoesgipi', 'Klihjrujwyac', 'CT', 'Bakersfield'),
('Dcwngewaw', 'Rncmws', 'NJ', 'St. Louis'),
('Ghebuxmejf', 'Bivjeiosz', 'AZ', 'Moreno Valley'),
('Lvqpaphf', 'Hqnblzyztxmcj', 'NJ', 'Colorado Springs'),
('Vpnag', 'Yxxpsfawlxou', 'OK', 'Augusta-Richmond County'),
('Nrj', 'Smuehd', 'TX', 'Glendale'),
('Vu', 'Kilpkamnfm', 'MD', 'Irving'),
('Ohubmsypi', 'Otvgtpxiqyu', 'MT', 'Chattanooga'),
('Hjzv', 'Vsm', 'IA', 'Tacoma'),
('Qp', 'Axiizjfvhns', 'HI', 'Lincoln'),
('Wbflgebmyf', 'Oyv', 'VT', 'Jacksonville'),
('Ejgr', 'Smkljafpd', 'AK', 'Indianapolis'),
('Oozzmtmdlk', 'Vmcox', 'IN', 'Mesa'),
('Zojte', 'Ruvoczcgmm', 'OK', 'Cape Coral'),
('Icqxkmcrtzugc', 'Qlfrsrbdkhwl', 'ID', 'Overland Park'),
('Tjo', 'Wlo', 'HI', 'Glendale'),
('Nrl', 'Txjpw', 'AS', 'Huntington Beach'),
('Duyaennixver', 'Blqtfrmaghd', 'RI', 'Tulsa'),
('Solnl', 'Uulw', 'OH', 'Irving'),
('Iavwqbzu', 'Fnjdiw', 'PA', 'Shreveport'),
('Tlv', 'Jxdsafo', 'MD', 'Cleveland'),
('Fvmmgt', 'Gxaenkihhh', 'PW', 'Glendale'),
('Vyoojdfsbereq', 'Qayincnhnfud', 'MN', 'Spokane'),
('Spxbuijsugv', 'Gsuncr', 'GA', 'Chicago'),
('Tnxpmlfee', 'Lplyrjol', 'MA', 'Lubbock'),
('Ls', 'Werhbpiughtx', 'MN', 'Fontana'),
('Whpytm', 'Taxucjgyjarj', 'ND', 'Little Rock'),
('Kqti', 'Kzyeltckzbkur', 'SD', 'Fremont'),
('Rykmhflanosjr', 'Fglv', 'AL', 'Cape Coral'),
('Nkwvhsw', 'Dttkurtedkijj', 'LA', 'San Francisco'),
('Rprdgxuemzcx', 'Owqsmzyni', 'ME', 'Detroit'),
('Bqopaqfcu', 'Xmofjw', 'IA', 'Mobile'),
('Ija', 'Mpgzegky', 'AZ', 'Nashville-Davidson'),
('Tbsdoblt', 'Hnxuvhiogdkx', 'ID', 'Plano'),
('Bxylwydyzhdxe', 'Gfenreq', 'WA', 'St. Petersburg'),
('Qssggcg', 'Qoqkgrdkrwtn', 'IA', 'Washington'),
('Dtpfu', 'Ohmi', 'TX', 'Durham'),
('Fonzkuow', 'Supcxcrltl', 'NM', 'Scottsdale'),
('Rlz', 'Yo', 'MO', 'Memphis'),
('Xnppxecpxab', 'Nzktilp', 'AL', 'North Las Vegas'),
('Ajwqtbrtb', 'Ysmaxzccabpb', 'IA', 'Tallahassee'),
('Ezszbfipfj', 'Lpssrhhwds', 'ND', 'San Diego'),
('Bqmtc', 'Yxvnixrggii', 'MI', 'Kansas City'),
('Nfy', 'Zrvjk', 'ME', 'Durham'),
('Wz', 'Ivnqh', 'CO', 'Detroit'),
('Ui', 'Knrakcbhtq', 'UT', 'Newport News'),
('Xumvbwyeu', 'Kbesybxy', 'SD', 'Fontana'),
('Gwdjzrydq', 'Pperqcjumhdh', 'WA', 'Brownsville'),
('Um', 'Dzzsl', 'IA', 'Phoenix'),
('Cdqxa', 'Lriabyappspk', 'VT', 'Oklahoma City'),
('Ijizmif', 'Utc', 'WI', 'Cincinnati'),
('Niqtvyowtwu', 'Sbmjvxnvkxlcp', 'MS', 'Rancho Cucamonga'),
('Dc', 'Guxapcjxziisp', 'IN', 'Akron'),
('Ufaw', 'Crefskkd', 'SC', 'Port St. Lucie'),
('Fpkweubn', 'Wvofkpruldql', 'NV', 'Bakersfield'),
('Pnpkfirmfe', 'Yihlfas', 'UT', 'Omaha'),
('Fqizvhqbckm', 'Kjnotldxlzp', 'NJ', 'Laredo'),
('Trmjsxcn', 'Mnvqkdqwimf', 'NY', 'Jersey City'),
('Turbclvuealx', 'Zfydowlzxte', 'PA', 'Aurora'),
('Qauopt', 'Twameurl', 'NM', 'Tempe'),
('Kbpsi', 'Gexiegj', 'AK', 'Plano'),
('Nholbo', 'Rsmyienklo', 'WA', 'Fontana'),
('Sstpfxgo', 'Msgkodyatbqs', 'NY', 'Riverside'),
('Zsrryrteuld', 'Zsh', 'UT', 'New Orleans'),
('Ltrpabptm', 'Vazfykaci', 'NE', 'Fort Lauderdale'),
('Blkubwxhnmrpz', 'Rkijomjzofju', 'IL', 'Augusta-Richmond County'),
('Dghv', 'Betzozveotk', 'RI', 'Oceanside'),
('Yzbmlhzkmu', 'Kldby', 'MH', 'Chandler'),
('Xsrvbntreb', 'Hvfg', 'ME', 'Garland'),
('Iqcroukl', 'Hglpsvkhltkwa', 'MI', 'Des Moines'),
('Auh', 'Snnfla', 'MS', 'Mesa'),
('Piz', 'Lmcvc', 'OH', 'Cleveland'),
('Bnqrgkmwqx', 'Gswcomq', 'AZ', 'Minneapolis'),
('Mntsrbp', 'Lkwcztii', 'PR', 'Garden Grove'),
('Xttdzzgunuk', 'Nuweeck', 'SD', 'Orlando'),
('Nvlvremyrhcpi', 'Gmetumhl', 'OK', 'Honolulu'),
('Tqbhncu', 'Yeltynv', 'GU', 'Boise City'),
('Dacu', 'Ow', 'AZ', 'Oxnard'),
('Efhytjhkvjtg', 'Zftxzwodq', 'MP', 'Omaha'),
('Hgv', 'Aloni', 'PW', 'Salt Lake City'),
('Dcyax', 'Rbdqrusxv', 'NH', 'Minneapolis'),
('Ipraoxevr', 'Kmefafwwp', 'IL', 'Little Rock'),
('Mpdgetpfeerh', 'Pudvdy', 'OK', 'Grand Prairie'),
('Wbyqliubzcv', 'Jzgq', 'WI', 'Glendale'),
('Oczo', 'Gizeiuosldso', 'NJ', 'Fontana'),
('Yyhnq', 'Qxuqtmtqjt', 'OH', 'Reno'),
('Cchtrprf', 'Stpxvbpaubscx', 'SC', 'San Francisco'),
('Peceavesto', 'Ahabyjip', 'PR', 'New York'),
('Zrxgrhlupa', 'Epuusswxtvfuw', 'PR', 'Cape Coral'),
('Cix', 'Ribhcjhhcaxk', 'DE', 'Augusta-Richmond County'),
('Hqijgxgjone', 'Olg', 'IN', 'Fontana'),
('Uizvg', 'Oykw', 'WI', 'Santa Ana'),
('Nwsrh', 'Se', 'MH', 'Plano'),
('Kwjpqvgnj', 'Pdu', 'VI', 'Hialeah'),
('Tqxepu', 'Wlbvjjumqac', 'ID', 'Mobile'),
('Pmhf', 'Agmuaogwvueur', 'AK', 'Cape Coral'),
('Wpgpffqjq', 'Mlin', 'WI', 'Richmond'),
('Undkohkifx', 'Wqhnqiork', 'AS', 'Huntington Beach'),
('Brhsoqg', 'Dsbhthkdupgc', 'AL', 'Cape Coral'),
('Wiwsccxqp', 'Do', 'AL', 'Durham'),
('Hoxvn', 'Bxnkosmnhoeh', 'FM', 'Aurora'),
('Gtfpmniaplm', 'Pouzeniuijc', 'IN', 'Boston'),
('Xhs', 'Kvchiidd', 'IN', 'Glendale'),
('Fruhp', 'Bhuqpwfixe', 'VA', 'Brownsville'),
('Ym', 'Ly', 'MD', 'Mobile'),
('Ubzhvlftk', 'Oiexfkavtkh', 'HI', 'Gilbert'),
('Rs', 'Ldqt', 'KY', 'Pittsburgh'),
('Ibabseobv', 'Ffqwbe', 'NM', 'Chula Vista'),
('Azjvucwfjsa', 'Xmhjm', 'SC', 'Oceanside'),
('Wuxhgddfc', 'Rjgkgmjhowvvy', 'OR', 'Milwaukee'),
('Gaavljy', 'Redjynkf', 'WV', 'Scottsdale'),
('Qppg', 'Fwzyskikfv', 'VI', 'St. Paul'),
('Yfmbonqolarlh', 'Nvdzhdn', 'CT', 'Cincinnati'),
('Rbr', 'Qawjazpalr', 'AS', 'Fremont'),
('Jgpezse', 'Mb', 'NC', 'Port St. Lucie'),
('Dyfwwmo', 'Ljotqxd', 'WI', 'Fremont'),
('Gpmyawwnvxlk', 'Psckcanveilz', 'ME', 'Omaha'),
('Rvbubtn', 'Wrgvyqihry', 'NY', 'Tallahassee'),
('Pwhsi', 'Qabg', 'AL', 'Boise City'),
('Zzkzefirqznzi', 'Pfyeuilnxmkqz', 'ID', 'Oklahoma City'),
('Wyhtzv', 'Dvuvrd', 'DC', 'Columbus'),
('Ybeoaephyxkcq', 'Fkeilrmt', 'RI', 'Columbus'),
('Cx', 'Ixdfoul', 'CT', 'Portland'),
('Ijwyds', 'Hqdduiuyrmfdu', 'IA', 'Albuquerque'),
('Dfiyyqhjcb', 'Ehsdftdacgt', 'ME', 'Reno'),
('Zfctxbpirhqg', 'Srjcjxqooxkle', 'MA', 'Birmingham'),
('Xd', 'Hnyc', 'WV', 'Fremont'),
('Sigitktu', 'Xu', 'TX', 'Fresno'),
('Lmhcg', 'Zbpglwqk', 'CA', 'San Francisco'),
('Cxjiicihbyy', 'Mtecsqzsdbb', 'NJ', 'Columbus'),
('Lcdvpewwtpkp', 'Ttekrchau', 'HI', 'Amarillo'),
('Hlrlkmbekq', 'Mzh', 'MT', 'Long Beach'),
('Sq', 'Mn', 'IN', 'Cleveland'),
('Qwifpjbmhabj', 'Yfqoxvelmvpoh', 'IA', 'Washington'),
('Semlmqeiulg', 'Rsavkdwkpglpn', 'CT', 'Akron'),
('Hfgtocezxvhlz', 'Kdugldnfr', 'RI', 'Seattle'),
('Unguuuwyydhs', 'Ixbiivikop', 'HI', 'Santa Clarita'),
('Syhegrqzhsjj', 'Jooezksyvw', 'VI', 'Cincinnati'),
('Yowkw', 'Zcnpizdaga', 'WV', 'Stockton'),
('Dji', 'Vhpvnnaekpmsr', 'AS', 'Austin'),
('Mqbrjvtmoy', 'Ssnars', 'NH', 'Washington'),
('Bvhobx', 'Atuivkhsc', 'MH', 'Little Rock'),
('Cup', 'Gltzpjddchsg', 'GU', 'San Jose'),
('Hutjccuoqu', 'Njxfnbr', 'NE', 'Akron'),
('Kpsa', 'Tcsxrvci', 'NH', 'Minneapolis'),
('Cudqn', 'Dfbuvebcolnm', 'DE', 'Tallahassee'),
('Kvf', 'Tnkrci', 'DC', 'Rochester'),
('Cfriqvt', 'Dfxrcqsuyeaf', 'VA', 'Brownsville'),
('Lzkhgqh', 'Tlxp', 'TN', 'Overland Park'),
('Tsxrdadv', 'Deffoctanrsb', 'KS', 'Atlanta'),
('Ekpjgre', 'Jyimsf', 'MN', 'Colorado Springs'),
('Cz', 'Ojishrwtvoyhw', 'TN', 'Aurora'),
('Pfewdrxvbdgo', 'Izlu', 'CA', 'Nashville-Davidson'),
('Rjddkxcawc', 'Eicptfnincaa', 'MN', 'Aurora'),
('Tavuqqxmqhz', 'Kezyxkbjsfy', 'VT', 'Mesa'),
('Otkdmgiy', 'Tltogcubgri', 'IL', 'Tulsa'),
('Gherlqwhato', 'Xzwviwhzuld', 'KY', 'St. Louis'),
('Hyedba', 'Vbxzchaa', 'WY', 'Honolulu'),
('Edljww', 'Dthwawgyz', 'NH', 'San Jose'),
('Sam', 'Jraogeykyp', 'KY', 'Boise City'),
('Jioemzbpwth', 'Dufliqz', 'TX', 'Dallas'),
('Kfrjvw', 'Iskkf', 'MT', 'New York'),
('Hizyvnnb', 'Jub', 'FM', 'Stockton'),
('Oppbzbmrqaqw', 'Ckbbdqycetdh', 'VA', 'Vancouver'),
('Opzyxglz', 'Ybhmkctpiy', 'SD', 'Virginia Beach'),
('Owtbpguty', 'Xooqnfl', 'FM', 'Aurora'),
('Idlullyfq', 'Nbq', 'RI', 'Huntington Beach'),
('Xovephzsow', 'Ii', 'OR', 'Charlotte'),
('Nxqgmsv', 'Ajhoxo', 'WV', 'Lubbock'),
('Rl', 'Aysxmt', 'MO', 'Kansas City'),
('Iizkomdrsh', 'Xhyvgjaru', 'SD', 'Ontario'),
('Ramuub', 'Jmks', 'WY', 'Los Angeles'),
('Rzwfjfsiocc', 'Dtgaso', 'WV', 'Yonkers'),
('Leuhqyd', 'Kzzqbaxvkfmzs', 'DE', 'Winston-Salem'),
('Ahoakgwivvxb', 'Pchonqqv', 'NY', 'St. Louis'),
('Bsunubmok', 'Yajmkzu', 'MA', 'Glendale'),
('Rfobakbco', 'Evowtbkf', 'OK', 'Greensboro'),
('Jtdzcxqptiufj', 'Vtilwb', 'VA', 'Portland'),
('Wyovjhyinq', 'Hgxailvh', 'AK', 'Philadelphia'),
('Gcthlza', 'Ejosiqcz', 'DE', 'Denver'),
('Behym', 'Rpkixnme', 'VA', 'Modesto'),
('Yvxdz', 'Kcgduhbtfrwu', 'NM', 'Philadelphia'),
('Kbnwpyo', 'St', 'MD', 'Port St. Lucie'),
('Uhosxgzl', 'Zeshell', 'CT', 'St. Louis'),
('Cmnqnleto', 'Uydvfswjnlzb', 'VT', 'Las Vegas'),
('Dsylswjivaa', 'Owgtygk', 'VI', 'Aurora'),
('Mneyyj', 'Uvenbhhvn', 'AK', 'Newark'),
('Bqfvafttqeq', 'Hruqxsl', 'KY', 'Tampa'),
('Gqnsv', 'Vrcrbuy', 'PR', 'San Antonio'),
('Ygjtclsjht', 'Glltcub', 'MS', 'Fremont'),
('Ughtbxqt', 'Slzedyljl', 'IL', 'Tacoma'),
('Tgiyvisf', 'Ofbolzo', 'WA', 'Fort Wayne'),
('Fpzkdlgtatihi', 'Srvyzdrjio', 'WI', 'Chandler'),
('Gvqjaieahwm', 'Ezxrzerlo', 'MI', 'Amarillo'),
('Lsjq', 'Xkuo', 'MP', 'Los Angeles'),
('Pr', 'Ncxnei', 'GA', 'Pittsburgh'),
('Kjutcdx', 'Yhavvzygf', 'PA', 'Amarillo'),
('Fykbhblriybz', 'Tzatfpggntp', 'ID', 'Port St. Lucie'),
('Gmmhowj', 'Tmybkey', 'PA', 'Colorado Springs'),
('Kh', 'Pgd', 'DE', 'Colorado Springs'),
('Qrspz', 'Jzasuiw', 'GU', 'Tallahassee'),
('Dqly', 'Vgfjzolfdyn', 'VA', 'Jacksonville'),
('Iaumrul', 'Xrmn', 'MI', 'New York'),
('Ssbhyvbpzaczx', 'Ibjpq', 'NC', 'Nashville-Davidson'),
('Nhzkoa', 'Wdueatdryq', 'VT', 'Minneapolis'),
('Pvmhvgkrhtjd', 'Waaccxgvrjxj', 'AS', 'Port St. Lucie'),
('Kzzzufmbclpfm', 'Fskpjxjccntmz', 'CO', 'Washington'),
('Pfoutf', 'Yesqqtgzn', 'TX', 'Richmond'),
('Otzphh', 'Dhrhexqnrgl', 'MO', 'Little Rock'),
('Cu', 'Vliz', 'AS', 'Atlanta'),
('Sfudladfubvtg', 'Vargzghtxlh', 'WV', 'Chicago'),
('Xvr', 'Exofjompnon', 'IN', 'Santa Clarita'),
('Rqslifnsze', 'Xuezvvh', 'NE', 'Nashville-Davidson'),
('Ddwfyernberqs', 'Lwuook', 'MT', 'Newark'),
('Hots', 'Uywnugvft', 'PW', 'Indianapolis'),
('Ycygb', 'Vmgscshyozqd', 'MO', 'Scottsdale'),
('Yleyjvafrv', 'Ibfmvm', 'MA', 'St. Petersburg'),
('Ftp', 'Glqs', 'MO', 'Aurora'),
('Vrvsjgioeol', 'Sickjwpc', 'CA', 'Pittsburgh'),
('Umarlfq', 'Uq', 'IA', 'Akron'),
('Yfvnvu', 'Xiru', 'MD', 'Fresno'),
('Ydd', 'Gge', 'VT', 'San Bernardino'),
('Gfhunximor', 'Eitdb', 'NC', 'Plano'),
('Rcavmohj', 'Iillgtdn', 'MD', 'Tacoma'),
('Mcwbio', 'Bxergwdy', 'MP', 'Austin'),
('Fpu', 'Olksumdojrqd', 'CA', 'Toledo'),
('Lg', 'Wnoyzkb', 'MP', 'Mobile'),
('Wuiyfsmydj', 'Crkfetrp', 'LA', 'Salt Lake City'),
('Xyskhpdl', 'Fnbfhtzqlila', 'NH', 'Winston-Salem'),
('Miyv', 'Xsmpkqwnjv', 'ID', 'Indianapolis'),
('Bpibkrknfok', 'Qael', 'VT', 'Fort Wayne'),
('Tucmn', 'Yxmgpukmj', 'PA', 'Columbus'),
('Lkdbnhnoh', 'Tyc', 'CA', 'Honolulu'),
('Tjfpsfpxhi', 'Ogwcohuipxv', 'PA', 'Riverside'),
('Nvjumx', 'Ulonpjyiq', 'OR', 'New Orleans'),
('Cdvzgxpqokcq', 'Jsgqckbvwc', 'TN', 'Virginia Beach'),
('Lmhj', 'Kfubo', 'AZ', 'Milwaukee'),
('Aflwzcxpsgrj', 'Rkujkyyerpji', 'AZ', 'Atlanta'),
('Bqjkzy', 'Jvjhmxkfnanib', 'PA', 'Birmingham'),
('Tifycdni', 'Dc', 'ME', 'Oceanside'),
('Vsny', 'Uejfqoiza', 'AZ', 'Lubbock'),
('Yzje', 'Wjwmxjxry', 'KY', 'Huntsville'),
('Axxrohq', 'Alotxvfltoq', 'ME', 'Mesa'),
('Xj', 'Ujjogjk', 'NY', 'Amarillo'),
('Zntq', 'Wqyagtzh', 'NC', 'Grand Rapids'),
('Fsgbmatpj', 'Li', 'ND', 'Aurora'),
('Qv', 'Itkfhnnrxuhhb', 'KY', 'Lexington-Fayette'),
('Kldmknifa', 'Nenkcpvubkvuh', 'PW', 'Wichita'),
('Yz', 'Jiixc', 'AR', 'Greensboro'),
('Vlpbrqi', 'Oqvvyk', 'AZ', 'Austin'),
('Qzwdlzbnwpnw', 'Jxrpif', 'MN', 'Hialeah'),
('Ifsrkajlmxzd', 'Moimc', 'IA', 'Lexington-Fayette'),
('Ntucnxdggdph', 'Qve', 'TX', 'Jacksonville'),
('Tyaagohciyn', 'Sgqvglv', 'NY', 'Gilbert'),
('Asc', 'Tppkxcmfjp', 'PA', 'Glendale'),
('Vimj', 'Oyoybthv', 'PW', 'Tacoma'),
('Qow', 'Fasmn', 'DC', 'Columbus'),
('Ifjbpmbsyfc', 'Xnviplauvmf', 'VA', 'Glendale'),
('Tjqmr', 'Ymhtmoxoxk', 'IA', 'Chula Vista'),
('Oeygpbbaph', 'Bjwpajqpcys', 'WY', 'Fresno'),
('Lxizodfhaavcz', 'Zqnwct', 'RI', 'Spokane'),
('Abya', 'Oj', 'ND', 'Albuquerque'),
('Pfgdxmeijpp', 'Kpbg', 'MT', 'Boston'),
('Byyqxjwpye', 'Ag', 'DC', 'Baton Rouge'),
('Wrjif', 'Sodsbgliusx', 'ND', 'Chicago'),
('Jzfa', 'Irhrhhyi', 'MI', 'Oklahoma City'),
('Jfpcitlkbz', 'Znk', 'VA', 'Boise City'),
('Cmusflhvbq', 'Hs', 'WI', 'Grand Prairie'),
('Pqrrsxdsttbx', 'Rs', 'MD', 'Madison'),
('Orqob', 'Ydv', 'TX', 'Garland'),
('Iinl', 'Qtayg', 'MN', 'Glendale'),
('Iiqqmptiwkgie', 'Pqfdnfktfiivw', 'RI', 'Colorado Springs'),
('Sjk', 'Fnwyteiuealjc', 'MO', 'Madison'),
('Nshnbvfv', 'Jldy', 'VA', 'Tampa'),
('Yl', 'Wxaoblfy', 'ND', 'Phoenix'),
('Yubxape', 'Quxkibhbi', 'MI', 'Lexington-Fayette'),
('Cxybqvprej', 'Affdijpgkn', 'TN', 'Kansas City'),
('Zhlv', 'Bqnhpeoxzmqj', 'MI', 'Brownsville'),
('Edrnzluf', 'Epowfhyrebx', 'OH', 'Colorado Springs'),
('Owltp', 'Jvfylacmozhnq', 'NY', 'Tempe'),
('Icdatbucho', 'Biuut', 'NH', 'Atlanta'),
